identifier,guid,kind,desc_chars,wiki_pages,wiki_chars,n_files,n_doc_files,doc_files
10.17605/osf.io/c3yvk,c3yvk,nodes,0,0,0,19,4,"HKU replication & extension main manuscript (Fischhoff, Slovic, & Lichtenstein, 1977 - Group A).docx | HKU replication & extension supplementary (Fischhoff, Slovic, & Lichtenstein, 1977 - Group A).docx | Fischhoff etal 1977-Danny-Revised Final Report Supplementary.docx | Fischhoff etal 1977-Danny-Revised Final Report Main Manuscript.docx"
10.17605/osf.io/bj4e5,bj4e5,nodes,0,0,0,101,4,README.pdf | report.docx | report.docx | apaquarto.docx
10.17605/osf.io/cwvda,cwvda,nodes,0,0,0,10,5,Transparency Report.pdf | original article - Read et al. - 2005 - Four Score and Seven Years from Now The DateDela.pdf | No-Checks-Orange-Read-et-al-2005.docx | read2005-replication.pdf | Orange-Read-et-al-2005-Replication-Studies-1-2-4.docx
10.17605/osf.io/d3j2y,d3j2y,nodes,0,0,0,16,5,Gray-Wegner 2009-RRR-supplementary-v2-G.docx | Gray-Wegner 2009-RRR-manuscript-v3-G.docx | Xiao-Feldman-2025-Gray-Wegner-2009-replications-extensions-preprint-v2.pdf | Moral_Typecasting_replication_Gray_and_Wegner_2009.docx | Moral_Typecasting_replication_Gray_and_Wegner_2009.pdf
10.17605/osf.io/ef59b,ef59b,nodes,0,1,112,1,1,Corcoran_2018_in_principle_accepted_manuscript.pdf
10.17605/osf.io/e5wka,e5wka,nodes,0,0,0,14,3,StageOneSubmission.pdf | Registered Report Statement.docx | StageTwoSubmission.pdf
10.17605/osf.io/ejcaz,ejcaz,nodes,0,0,0,2,1,Appendix - Reference list.docx
10.17605/osf.io/e47jh,e47jh,nodes,0,1,166,39,17,CHAN-Angela-Nga-Yi-2024-Bown-etal-2003-replication-thesis.pdf | PCIRR-Bown-etal-2003-replication-cover-letter.docx | PCIRR-Bown-etal-2003-replication-snapshot.docx | PCIRR-S1-Bown-etal-2003-replication-extension-Registered-Report-supplementary.docx | PCIRR-S1-Bown-etal-2003-replication-extension-Registered-Report-cover-letter.docx | PCIRR-S1-Bown-etal-2003-replication-extension-Registered-Report-main-manuscript.docx | Chan-Feldman-2024-PCIRR-S1-Bown-etal-2003-replication-extension-Registered-Report-preprint.pdf | Bown_etal_2003_replication_extension_PCIRR.docx | Bown_etal_2003_replication_extension_PCIRR.pdf | README.docx
10.17605/osf.io/e5k4j,e5k4j,nodes,0,0,0,44,19,McKenzie_et_al_2006_Questionnaire_pre-registration.pdf | McKenzie_et_al_2006_Questionnaire_pre-registration.docx | PCIRR-S1-McKenzie-etal-2006-replication-extension-supplementary-v5-G.docx | Teng-etal-2024-PCIRR-S1-McKenzie-etal-2006-RRR-preprint-v1.pdf | PCIRR-S1-McKenzie-etal-2006-replication-extension-manuscript-v14-G.docx | PCIRR-S1-RNR-McKenzie-etal-2006-replication-extension-manuscript-v6-G.docx | Teng-etal-2025-McKenzie-etal-2006-RRR-preprint-v2.pdf | PCIRR-S1-RNR-McKenzie-etal-2006-replication-extension-supplementary-v1-L.docx | McKenzie_et_al_2006_Questionnaire_pre-registration.pdf | McKenzie_et_al_2006_Questionnaire_pre-registration.docx
10.17605/osf.io/eqy76,eqy76,nodes,0,0,0,22,8,16-53b (2018-01-11) AmendApproval.docx | 16-53 (2017-08-31) EthicsForm_ICHR.docx | variable_key_for_upload.docx | multisite_hallucinations_preprint_v2.pdf | multisite_hallucinations_supplemental_preprint_v2.pdf | LSHS - 16 items.docx | CAPS - 32 items.docx | ACE - 17 items.docx
