doi_r,our_doi_o,mo_doi_o,population,our_type,our_title,our_year,mo_type,mo_title,mo_year
10.1037/xge0000788,10.1037/e578192014-061,10.1037/a0035880,flora,dataset,Free to punish: A motivated account of free will belief,2014,journal-article,Free to punish: A motivated account of free will belief.,2014.0
10.1080/0003684042000229532,10.1086/298261,10.1016/s0272-7757(99)00057-6,flora,journal-article,"""Overeducation"" in the Labor Market",1991,journal-article,Overeducation in the labor market: a meta-analysis,2000.0
10.1111/j.1540-4781.2011.01174.x,10.2307/329894,10.1111/j.1540-4781.1992.tb02573.x,flora,journal-article,The Effects of Language Anxiety on Students' Oral Test Performance and,1992,journal-article,The Effects of Language Anxiety on Students' Oral Test Performance and,1992.0
10.1111/lang.12621,10.1111/j.1467-9922.2012.00729.x,10.1111/j.1467-9922.2012.00729,flora,journal-article,Incidental Learning of Collocation,2013,,,
10.1177/0956797620968526,10.1111/1467-9280.00376,10.1037/e413802005-319,flora,journal-article,Implicit Attitude Formation Through Classical Conditioning,2001,dataset,Implicit Attitude Formation Through Classical Conditioning,2001.0
10.1177/10422587211059991,10.1016/j.jbusvent.2008.04.003,10.2139/ssrn.1263088,flora,journal-article,Growing profitable or growing from profits: Putting the horse in front,2009,posted-content,Growing Profitable or Growing from Profits: Putting the Horse in Front,2008.0
10.1177/25152459211018187,10.1111/j.1467-8624.1966.tb05387.x,10.2307/1126804,flora,journal-article,Spontaneous Verbal Rehearsal in a Memory Task as a Function of Age,1966,journal-article,Spontaneous Verbal Rehearsal in a Memory Task as a Function of Age,1966.0
10.1515/zfsoz-2023-2029,10.31235/osf.io/93eyz,10.1016/j.ssresearch.2015.12.008,flora,posted-content,"Preferences, Constraints, and the Process of Sex Segregation in Colleg",2017,journal-article,"Preferences, constraints, and the process of sex segregation in colleg",2016.0
10.1525/collabra.18738,10.1037/0022-3514.37.10.1660,10.4324/9780203496398-9,flora,journal-article,The role of category accessibility in the interpretation of informatio,1979,book-chapter,The Role of Category Accessibility in the Interpretation of Informatio,2004.0
10.1525/collabra.77859,10.1002/(sici)1099-0771(199806)11:2%3c107::aid-bdm292%3e3.0.co;2-y,10.1002/(sici)1099-0771(199806)11:2<107::aid-bdm292>3.0.co;2-y,flora,journal-article,Less is better: when low-value options are valued more highly than hig,1998,journal-article,Less is better: when low-value options are valued more highly than hig,1998.0
10.1901/jeab.2012.98-283,10.1901/jeab.2008.90-257,10.1037/e527312012-255,flora,journal-article,"ASSOCIATIVE SYMMETRY, ANTISYMMETRY, AND A THEORY OF PIGEONS' EQUIVALEN",2008,dataset,"Associative Symmetry, Anti-Symmetry, and a Theory of Pigeons' Equivale",2008.0
10.3758/s13428-020-01457-6,10.1037//0096-1523.18.3.849,10.1037/0096-1523.18.3.849,flora,journal-article,Temporary suppression of visual processing in an RSVP task: An attenti,1992,journal-article,Temporary suppression of visual processing in an RSVP task: An attenti,1992.0
