flora_doi_o,flora_url_r,node,n_registrations,registration_dois,registration_dates,any_withdrawn
10.1111/j.1467-9280.2008.02070.x,https://osf.io/dncxa,dncxa,2,"10.17605/OSF.IO/JF6CK, 10.17605/OSF.IO/QMPKY","2015-07-13, 2015-07-23",False
10.1111/j.1467-9280.2008.02072.x,https://osf.io/b98zw,b98zw,2,"10.17605/OSF.IO/Z57UD, 10.17605/OSF.IO/HB7KJ","2015-07-13, 2015-07-23",False
10.1111/j.1467-9280.2008.02076.x,https://osf.io/2gkjt,2gkjt,3,"10.17605/OSF.IO/HRFG5, 10.17605/OSF.IO/W7GKD, 10.17605/OSF.IO/PX56H","2014-09-10, 2015-01-10, 2015-07-13",False
10.1111/j.1467-9280.2008.02077.x,https://osf.io/3h29d,3h29d,2,"10.17605/OSF.IO/RT3ZS, 10.17605/OSF.IO/8YBK5","2015-07-13, 2015-07-23",False
10.1111/j.1467-9280.2008.02078.x,https://osf.io/x75fq,x75fq,0,,,False
10.1111/j.1467-9280.2008.02080.x,https://osf.io/ertbg,ertbg,0,,,False
10.1111/j.1467-9280.2008.02081.x,https://osf.io/sd7kg,sd7kg,1,10.17605/OSF.IO/CSM3D,2015-07-13,False
10.1111/j.1467-9280.2008.02084.x,https://osf.io/vnsqg,vnsqg,2,"10.17605/OSF.IO/2FU9T, 10.17605/OSF.IO/P87CN","2015-07-13, 2015-07-24",False
10.1111/j.1467-9280.2008.02085.x,https://osf.io/siaqe,siaqe,4,"10.17605/OSF.IO/UFAXJ, 10.17605/OSF.IO/4ZUH6, 10.17605/OSF.IO/PUA6S, 10.17605/OSF.IO/QZRT2","2014-10-31, 2015-07-13, 2015-07-23, 2015-08-24",False
10.1111/j.1467-9280.2008.02088.x,https://osf.io/k4y9i,k4y9i,1,10.17605/OSF.IO/TR7FP,2015-07-13,False
10.1111/j.1467-9280.2008.02089.x,https://osf.io/qlzap,qlzap,2,"10.17605/OSF.IO/J756E, 10.17605/OSF.IO/WBS96","2013-11-11, 2015-07-13",False
10.1111/j.1467-9280.2008.02092.x,https://osf.io/5u4km/,5u4km,0,,,False
10.1111/j.1467-9280.2008.02093.x,https://osf.io/tg2wd,tg2wd,1,10.17605/OSF.IO/76J48,2015-07-13,False
10.1111/j.1467-9280.2008.02095.x,https://osf.io/5dx4v,5dx4v,1,10.17605/OSF.IO/K5CWT,2015-07-13,False
10.1111/j.1467-9280.2008.02098.x,https://osf.io/dnaxe,dnaxe,1,10.17605/OSF.IO/FS3UT,2015-07-13,False
10.1111/j.1467-9280.2008.02100.x,https://osf.io/76qc5,76qc5,1,10.17605/OSF.IO/K82YB,2015-07-13,False
