work_id,doi,template,verdict,in_flora,fetched,chars
6906615056,10.17605/osf.io/wbgjf,OSF-Standard Pre-Data Collection Registration,discard,False,True,135
6887741479,10.17605/osf.io/6pzv8,OSF-Standard Pre-Data Collection Registration,discard,False,True,146
6925059625,10.17605/osf.io/hn9vm,,untouched,False,False,0
6962632301,10.17605/osf.io/bhnkq,Open-Ended Registration,admit,False,True,96
6962721820,10.17605/osf.io/jzfcg,OSF Preregistration,discard,False,True,12576
6962956691,10.17605/osf.io/9fj4n,,untouched,False,False,0
6944225799,10.17605/osf.io/mjvkn,,untouched,False,False,0
6925056563,10.17605/osf.io/e9ehf,OSF-Standard Pre-Data Collection Registration,discard,False,True,467
6925461132,10.17605/osf.io/dx853,OSF-Standard Pre-Data Collection Registration,discard,False,True,266
6887753316,10.17605/osf.io/vfa4q,Prereg Challenge,discard,False,True,6103
6944013894,10.17605/osf.io/9jz64,,untouched,False,False,0
6925236420,10.17605/osf.io/75cdy,OSF-Standard Pre-Data Collection Registration,discard,False,True,464
2794285170,10.17605/osf.io/vks6a,Prereg Challenge,discard,False,True,19216
6887681332,10.17605/osf.io/r486x,OSF-Standard Pre-Data Collection Registration,discard,False,True,72
7093352114,10.17605/osf.io/d827b,,untouched,False,False,0
6943981133,10.17605/osf.io/b2r65,OSF-Standard Pre-Data Collection Registration,discard,False,True,176
6962785978,10.17605/osf.io/5c9dv,Registered Report Protocol Preregistration,discard,False,True,1396
6906501665,10.17605/osf.io/fxpj5,OSF-Standard Pre-Data Collection Registration,discard,False,True,123
6943877430,10.17605/osf.io/chfw7,Prereg Challenge,discard,False,True,4274
6944003305,10.17605/osf.io/vmksp,OSF Preregistration,discard,False,True,3736
6925166736,10.17605/osf.io/3xj6v,OSF-Standard Pre-Data Collection Registration,discard,False,True,226
6943964938,10.17605/osf.io/dg9m4,Prereg Challenge,discard,False,True,18121
2782406163,10.17605/osf.io/rkqw2,Open-Ended Registration,admit,False,True,96
6962344582,10.17605/osf.io/68uj3,Preregistration Template from AsPredicted.org,discard,False,True,8817
6962644548,10.17605/osf.io/2t9j6,OSF-Standard Pre-Data Collection Registration,discard,False,True,135
6963274343,10.17605/osf.io/kn4bg,Preregistration Template from AsPredicted.org,discard,False,True,10548
6906577166,10.17605/osf.io/acf5n,OSF-Standard Pre-Data Collection Registration,discard,False,True,668
7080821786,10.17605/osf.io/8ayf7,,untouched,False,False,0
6962371659,10.17605/osf.io/9njx6,OSF-Standard Pre-Data Collection Registration,discard,False,True,192
6925536285,10.17605/osf.io/thnmu,,untouched,False,False,0
6906319641,10.17605/osf.io/3dusm,,untouched,False,False,0
6962527281,10.17605/osf.io/2edbu,OSF-Standard Pre-Data Collection Registration,discard,False,True,146
6944165153,10.17605/osf.io/mw4gu,,untouched,False,False,0
7079685682,10.17605/osf.io/a4wb6,,untouched,False,False,0
6944050251,10.17605/osf.io/kmje3,"Replication Recipe (Brandt et al., 2013): Pre-Registration",discard,False,True,1726
6887574737,10.17605/osf.io/83dmr,,untouched,False,False,0
6887680676,10.17605/osf.io/8ywgh,,untouched,False,False,0
6943860147,10.17605/osf.io/yqz8m,"Pre-Registration in Social Psychology (van 't Veer & Giner-Sorolla, 2016): Pre-Registration",discard,False,True,14169
6924991287,10.17605/osf.io/g2nek,OSF-Standard Pre-Data Collection Registration,discard,False,True,84
7086876926,10.17605/osf.io/sf5bz,,untouched,False,False,0
6906271241,10.17605/osf.io/9krvj,Prereg Challenge,discard,False,True,18558
6925315814,10.17605/osf.io/sp8cm,Open-Ended Registration,admit,False,True,78
6887639461,10.17605/osf.io/ygbse,,untouched,False,False,0
6906632708,10.17605/osf.io/gpcj9,Preregistration Template from AsPredicted.org,discard,False,True,2836
6887742727,10.17605/osf.io/3qg2a,OSF-Standard Pre-Data Collection Registration,discard,False,True,389
6944073043,10.17605/osf.io/qmc3a,Preregistration Template from AsPredicted.org,discard,False,True,2424
6943953754,10.17605/osf.io/zrmgh,OSF-Standard Pre-Data Collection Registration,discard,False,True,191
6887726618,10.17605/osf.io/ackak,OSF-Standard Pre-Data Collection Registration,discard,False,True,467
6944090676,10.17605/osf.io/y8r67,"Replication Recipe (Brandt et al., 2013): Pre-Registration",discard,False,True,1213
6944216860,10.17605/osf.io/xefr3,OSF-Standard Pre-Data Collection Registration,discard,False,True,233
6906480663,10.17605/osf.io/xawdh,OSF Preregistration,discard,False,True,2194
6906491568,10.17605/osf.io/huq9r,OSF-Standard Pre-Data Collection Registration,discard,False,True,135
6943924659,10.17605/osf.io/86acx,OSF-Standard Pre-Data Collection Registration,discard,False,True,163
2790595366,10.17605/osf.io/wr7xc,"Replication Recipe (Brandt et al., 2013): Pre-Registration",discard,False,True,8449
6962457067,10.17605/osf.io/gsvr4,EGAP Registration,discard,False,True,1394
6925049842,10.17605/osf.io/aj7m8,OSF-Standard Pre-Data Collection Registration,discard,False,True,226
6906660155,10.17605/osf.io/ghxrw,OSF-Standard Pre-Data Collection Registration,discard,False,True,583
6887757989,10.17605/osf.io/cqhw6,OSF Preregistration,discard,False,True,1293
6906471141,10.17605/osf.io/zp8qv,OSF-Standard Pre-Data Collection Registration,discard,False,True,146
6887706923,10.17605/osf.io/y8kbs,OSF-Standard Pre-Data Collection Registration,discard,False,True,84
6887719302,10.17605/osf.io/jv4q2,Prereg Challenge,discard,False,True,11443
6925335001,10.17605/osf.io/ax3cw,OSF Preregistration,discard,False,True,7412
6962884266,10.17605/osf.io/rz8gx,OSF-Standard Pre-Data Collection Registration,discard,False,True,163
6925508896,10.17605/osf.io/vkny5,OSF Preregistration,discard,False,True,26218
6925202596,10.17605/osf.io/gjr5k,,untouched,False,False,0
6925020910,10.17605/osf.io/cxatn,OSF-Standard Pre-Data Collection Registration,discard,False,True,417
6962525664,10.17605/osf.io/b6xv9,OSF Preregistration,discard,False,True,12743
2777533466,10.17605/osf.io/pktma,Open-Ended Registration,admit,False,True,96
6906418101,10.17605/osf.io/bqpzm,Preregistration Template from AsPredicted.org,discard,False,True,708
6925259922,10.17605/osf.io/c6n3t,OSF-Standard Pre-Data Collection Registration,discard,False,True,135
6906602272,10.17605/osf.io/b3p9c,OSF-Standard Pre-Data Collection Registration,discard,False,True,451
6906438642,10.17605/osf.io/aytez,,untouched,False,False,0
6887825125,10.17605/osf.io/x3qwp,,untouched,False,False,0
6887650864,10.17605/osf.io/4s35n,OSF-Standard Pre-Data Collection Registration,discard,False,True,84
6924984604,10.17605/osf.io/54rsq,OSF-Standard Pre-Data Collection Registration,discard,False,True,135
6962717585,10.17605/osf.io/s7x86,OSF-Standard Pre-Data Collection Registration,discard,False,True,135
7083324043,10.17605/osf.io/458qc,,untouched,False,False,0
6887776608,10.17605/osf.io/m2dhv,Open-Ended Registration,discard,False,True,232
6962854970,10.17605/osf.io/yhf8g,OSF-Standard Pre-Data Collection Registration,discard,False,True,135
6962921321,10.17605/osf.io/4u9wg,"Replication Recipe (Brandt et al., 2014): Pre-Registration",discard,False,True,4147
6906524353,10.17605/osf.io/3zc8m,"Pre-Registration in Social Psychology (van 't Veer & Giner-Sorolla, 2016): Pre-Registration",discard,False,True,6631
